行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,至善路,聖人瀑布前1,121.35164,25.07376,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,聖人瀑布前2,121.35164,25.07376,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,聖人瀑布前3,121.587885,25.127123,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,聖人瀑布前4,121.587885,25.127123,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段單號東吳大學(錢穆故居)站牌,121.541306,25.097389,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段單號梅林新村站牌1,121.540139,25.0975,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段單號梅林新村站牌2,121.540139,25.0975,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前1,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,三段371巷土地公廟前2,121.581327,25.122921,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,288號前,121.5233957,25.0948169,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,302號前,121.523082,25.094893,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,366號前,121.52115,25.09436,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,258號爭鮮前,121.5206322,25.0927289,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,250號新光會館前,121.5210761,25.0916854,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,128號前,121.523245,25.088582,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,31號對面,121.5243325,25.08736478,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,3號對面,121.5247339,25.08630145,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,台北藝術中心(一),121.5249124,25.0853423,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路,台北藝術中心(二),121.5249124,25.0854462,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路劍潭捷運站,1號十字路口 電桿編號:R1831,121.5250016,25.0857988,嚴禁投入家用垃圾，違者重罰新台幣6000元
